,Load (kWh),Grid supply (kWh),Spot Price (Euro/kWh),Wind (kWh),Battery (kWh),Battery2 (kWh),Battery3 (kWh),Battery4 (kWh),Battery5 (kWh),Battery6 (kWh)
2024-01-01 00:00:00,1504.6,351.0,0.05379,2353.6,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 01:00:00,1398.6,-0.0,0.048979999999999996,1399.8000000000002,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 02:00:00,1496.2,-0.0,0.02745,1497.4000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 03:00:00,1602.9,-0.0,0.024480000000000002,2134.2703017046297,200.0,200.0,200.0,200.0,200.0,730.1703017046307
2024-01-01 04:00:00,1798.9,-0.0,0.02401,2818.2,200.0,200.0,200.0,547.7401314029256,800.0,800.0
2024-01-01 05:00:00,1996.8,-0.0,0.02123,2959.4,200.0,307.59239127152284,800.0,800.0,800.0,800.0
2024-01-01 06:00:00,2984.8,-0.0,0.02262,2712.3,200.0,200.0,631.3847988802515,800.0,800.0,800.0
2024-01-01 07:00:00,2800.3,-0.0,0.02504,2307.4,200.0,200.0,200.0,735.0534140813713,800.0,800.0
2024-01-01 08:00:00,2904.6,-0.0,0.02624,2261.2,200.0,200.0,200.0,200.0,688.7183606672897,800.0
2024-01-01 09:00:00,2802.4,-0.0,0.03221,2584.6,200.0,200.0,200.0,200.0,468.62964230662226,800.0
2024-01-01 10:00:00,2703.2,-0.0,0.04771,2446.0,200.0,200.0,200.0,200.0,209.36101266431592,800.0
2024-01-01 11:00:00,3003.5,-0.0,0.05251,2747.6,200.0,200.0,200.0,200.0,200.0,551.6516516516516
2024-01-01 12:00:00,2796.1,-0.0,0.05657,2446.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 13:00:00,2703.0,-0.0,0.05982,3012.8694836511713,200.0,200.0,200.0,200.0,200.0,508.66948365117236
2024-01-01 14:00:00,2847.3,-0.0,0.062060000000000004,2747.6,200.0,200.0,200.0,200.0,200.0,407.460814167521
2024-01-01 15:00:00,2800.3,-0.0,0.06252,2747.6,200.0,200.0,200.0,200.0,200.0,353.35335335335327
2024-01-01 16:00:00,2899.6,-0.0,0.06319,2747.6,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 17:00:00,2395.2,-0.0,0.06498999999999999,2396.3999999999987,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 18:00:00,2202.0,-0.0,0.06358,2203.199999999999,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 19:00:00,2195.3,-0.0,0.0631,2196.499999999999,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 20:00:00,1699.8,-0.0,0.06215,1701.0000000000002,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 21:00:00,1797.7,-0.0,0.05827,1798.9000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 22:00:00,1801.5,-0.0,0.05258,1802.7000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-01 23:00:00,2004.5,-0.0,0.04403,2005.7000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 00:00:00,117.7,-0.0,0.038,118.89999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 01:00:00,116.8,-0.0,0.03356,117.99999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 02:00:00,145.8,-0.0,0.03203,146.99999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 03:00:00,155.3,-0.0,0.03229,156.49999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 04:00:00,120.3,-0.0,0.0367,121.49999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 05:00:00,152.0,-0.0,0.04172,317.9647647647647,200.0,200.0,200.0,200.0,200.0,364.7647647647648
2024-01-02 06:00:00,2981.6,-0.0,0.04918,2818.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 07:00:00,2798.0,-0.0,0.06204,2957.2682133204485,200.0,200.0,200.0,200.0,200.0,358.0682133204492
2024-01-02 08:00:00,2899.4,-0.0,0.06567,3118.2,200.0,200.0,200.0,200.0,200.0,575.5101451071286
2024-01-02 09:00:00,2802.2,-0.0,0.0668,3147.6,200.0,200.0,200.0,200.0,319.3346349620215,800.0
2024-01-02 10:00:00,2702.6,-0.0,0.07108,3193.1,200.0,200.0,200.0,207.9153003270595,800.0,800.0
2024-01-02 11:00:00,2996.3,-0.0,0.07354000000000001,2584.6,200.0,200.0,200.0,200.0,393.8073850267322,800.0
2024-01-02 12:00:00,2795.9,-0.0,0.07816,2353.6,200.0,200.0,200.0,200.0,200.0,549.5135776417054
2024-01-02 13:00:00,2696.2,-0.0,0.07887000000000001,2712.3,200.0,200.0,200.0,200.0,200.0,564.064064064064
2024-01-02 14:00:00,2854.7,-0.0,0.07923999999999999,2492.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 15:00:00,1796.7,-0.0,0.07995999999999999,1797.9000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 16:00:00,1904.5,-0.0,0.08145999999999999,1905.7000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 17:00:00,1401.8,-0.0,0.08092,1403.0000000000002,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 18:00:00,1196.2,-0.0,0.07495,1197.4000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 19:00:00,1199.2,-0.0,0.06677,1200.4000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 20:00:00,1499.9,-0.0,0.06492,1501.1000000000004,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 21:00:00,1600.9,-0.0,0.06443,1602.1000000000004,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 22:00:00,1204.1,-0.0,0.06261,1205.3000000000002,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-02 23:00:00,1498.2,-0.0,0.05916,1499.4000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-03 00:00:00,120.5,-0.0,0.058,121.69999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-03 01:00:00,115.4,-0.0,0.05839,116.59999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-03 02:00:00,153.9,-0.0,0.05841,1258.9943050360876,200.0,200.0,200.0,200.0,703.8943050360874,800.0
2024-01-03 03:00:00,161.4,-0.0,0.05584,1729.9,200.0,470.0904107310512,800.0,800.0,800.0,800.0
2024-01-03 04:00:00,118.7,-0.0,0.05453,872.8,620.3203203203201,800.0,800.0,800.0,800.0,800.0
2024-01-03 05:00:00,154.7,-0.0,0.05841,339.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-03 06:00:00,1976.3,1189.8999999999996,0.0627,791.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-03 07:00:00,1798.3,426.89999999999964,0.06481,1376.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-03 08:00:00,1900.3,-0.0,0.06559999999999999,1591.3,486.2000000000003,800.0,800.0,800.0,800.0,800.0
2024-01-03 09:00:00,1796.0,-0.0,0.06594,1327.6,200.0,613.3138000000004,800.0,800.0,800.0,800.0
2024-01-03 10:00:00,1703.4,-0.0,0.06642,1133.2,200.0,200.0,639.1004862000004,800.0,800.0,800.0
2024-01-03 11:00:00,1995.3,-0.0,0.06593,750.4,200.0,200.0,200.0,200.0,590.7613857138003,800.0
2024-01-03 12:00:00,1803.8,245.02937567191339,0.06559999999999999,570.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-03 13:00:00,1699.4,2470.383762782519,0.06515,599.1,200.0,200.0,200.0,368.88376278251957,800.0,800.0
2024-01-03 14:00:00,1848.6,-0.0,0.06576,709.6,200.0,200.0,200.0,200.0,200.0,427.314879019737
2024-01-03 15:00:00,796.7,-0.0,0.06938,1181.8,200.0,200.0,200.0,200.0,210.98756414071724,800.0
2024-01-03 16:00:00,901.4,-0.0,0.07359,668.8,200.0,200.0,200.0,200.0,200.0,576.5765765765766
2024-01-03 17:00:00,800.7,-0.0,0.08228,425.7,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-03 18:00:00,98.9,-0.0,0.08297,320.6,200.0,200.0,200.0,200.0,200.0,420.5000000000001
2024-01-03 19:00:00,204.4,-0.0,0.07903,173.4,200.0,200.0,200.0,200.0,200.0,388.07950000000017
2024-01-03 20:00:00,96.4,-0.0,0.07323,112.6,200.0,200.0,200.0,200.0,200.0,402.8914205000002
2024-01-03 21:00:00,153.9,-0.0,0.0692,228.6,200.0,200.0,200.0,200.0,200.0,476.18852907950026
2024-01-03 22:00:00,118.1,-0.0,0.06542,49.0,200.0,200.0,200.0,200.0,200.0,405.61234055042087
2024-01-03 23:00:00,148.2,-0.0,0.06379,49.0,200.0,200.0,200.0,200.0,200.0,305.0067282098705
2024-01-04 00:00:00,120.5,-0.0,0.06403,16.8,200.0,200.0,200.0,200.0,200.0,200.0017214816607
2024-01-04 01:00:00,115.4,95.19828023982092,0.06313,21.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 02:00:00,153.9,53.09999999999994,0.06261,102.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 03:00:00,161.4,28.799999999999926,0.06240999999999999,133.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 04:00:00,118.7,3301.249249249249,0.062079999999999996,367.9,749.249249249249,800.0,800.0,800.0,800.0,800.0
2024-01-04 05:00:00,154.7,-0.0,0.06447,210.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-04 06:00:00,1976.3,1697.2999999999997,0.07038,283.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-04 07:00:00,1798.3,1592.8999999999996,0.08502,210.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-04 08:00:00,1900.3,-0.0,0.09147,541.3,200.0,200.0,636.2000000000003,800.0,800.0,800.0
2024-01-04 09:00:00,1796.0,-0.0,0.0942,1424.8,200.0,200.0,261.56380000000036,800.0,800.0,800.0
2024-01-04 10:00:00,1703.4,-0.0,0.09198,750.4,200.0,200.0,200.0,200.0,505.5022362000004,800.0
2024-01-04 11:00:00,1995.3,423.1032660361998,0.09040000000000001,668.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 12:00:00,1803.8,1177.0000000000002,0.08669,628.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 13:00:00,1699.4,2098.1731206682157,0.08596,628.0,200.0,200.0,200.0,200.0,625.5731206682159,800.0
2024-01-04 14:00:00,1848.6,-0.0,0.09211,872.8,200.0,200.0,200.0,200.0,200.0,247.54754754754757
2024-01-04 15:00:00,796.7,-0.0,0.09862,750.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 16:00:00,901.4,-0.0,0.10573,902.6000000000001,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 17:00:00,800.7,-0.0,0.13323,801.9000000000003,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 18:00:00,98.9,-0.0,0.14465,100.09999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 19:00:00,204.4,-0.0,0.12137,205.59999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 20:00:00,96.4,-0.0,0.10058,97.59999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 21:00:00,153.9,-0.0,0.09711,155.09999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 22:00:00,118.1,-0.0,0.09211,119.29999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-04 23:00:00,148.2,-0.0,0.08625,149.39999999999992,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-05 00:00:00,120.5,-0.0,0.08882999999999999,121.69999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-05 01:00:00,115.4,-0.0,0.08309,116.59999999999994,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-05 02:00:00,153.9,-0.0,0.07947,1116.3146907895107,200.0,200.0,200.0,200.0,561.2146907895104,800.0
2024-01-05 03:00:00,161.4,-0.0,0.07539,1133.2,200.0,200.0,330.85347609872105,800.0,800.0,800.0
2024-01-05 04:00:00,118.7,-0.0,0.07626000000000001,913.6,200.0,522.6226226226225,800.0,800.0,800.0,800.0
2024-01-05 05:00:00,154.7,-0.0,0.07523,1036.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-05 06:00:00,1976.3,1271.4999999999995,0.07865000000000001,709.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-05 07:00:00,1798.3,1261.7999999999997,0.08447,541.3,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-05 08:00:00,1900.3,1566.0999999999997,0.08698,339.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-05 09:00:00,1796.0,1558.8882953023087,0.09218000000000001,123.2,681.2882953023092,800.0,800.0,800.0,800.0,800.0
2024-01-05 10:00:00,1703.4,-0.0,0.09348999999999999,133.8,200.0,200.0,307.00700700700685,800.0,800.0,800.0
2024-01-05 11:00:00,1995.3,-0.0,0.09537000000000001,91.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-05 12:00:00,1803.8,2069.1993993993988,0.08956,35.2,200.0,200.0,200.0,200.0,200.0,499.3993993993997
2024-01-05 13:00:00,1699.4,5000.0,0.08889,1.5,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-05 14:00:00,1848.6,1154.3173591692255,0.09362000000000001,-0.0,200.0,700.9173591692257,800.0,800.0,800.0,800.0
2024-01-05 15:00:00,796.7,-0.0,0.09715,7.6,200.0,200.0,507.71644181005666,800.0,800.0,800.0
2024-01-05 16:00:00,901.4,-0.0,0.09998,3.0,200.0,200.0,200.0,206.00872536824676,800.0,800.0
2024-01-05 17:00:00,800.7,-0.0,0.10426,7.6,200.0,200.0,200.0,200.0,200.0,610.5027166428786
2024-01-05 18:00:00,98.9,-0.0,0.11168,44.4,200.0,200.0,200.0,200.0,200.0,554.3922139262357
2024-01-05 19:00:00,204.4,-0.0,0.10095,12.2,200.0,200.0,200.0,200.0,200.0,360.6378217123095
2024-01-05 20:00:00,96.4,-0.0,0.10308,7.6,200.0,200.0,200.0,200.0,200.0,270.4771838905972
2024-01-05 21:00:00,153.9,-0.0,0.097,91.4,200.0,200.0,200.0,200.0,200.0,206.70670670670665
2024-01-05 22:00:00,118.1,-0.0,0.09775,112.6,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-05 23:00:00,148.2,68.59999999999992,0.08939,80.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 00:00:00,117.7,-0.0,0.08488,155.0,200.0,200.0,200.0,200.0,200.0,236.10000000000008
2024-01-06 01:00:00,116.8,-0.0,0.08277,123.2,200.0,200.0,200.0,200.0,200.0,241.26390000000015
2024-01-06 02:00:00,145.8,3.7773638999998127,0.07856,102.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 03:00:00,155.3,65.09999999999994,0.07535,91.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 04:00:00,120.3,3640.7,0.07535,80.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 05:00:00,152.0,22.999999999999716,0.07698,133.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 06:00:00,2981.6,2842.0000000000005,0.0775,144.4,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 07:00:00,2798.0,2647.800000000001,0.084,155.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 08:00:00,2899.4,2638.8000000000006,0.09087,265.4,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 09:00:00,2802.2,2468.000000000001,0.09498000000000001,339.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 10:00:00,2702.6,2478.8000000000006,0.10041,228.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 11:00:00,2996.3,-0.0,0.10365,210.2,200.0,200.0,200.0,200.0,409.0999999999997,800.0
2024-01-06 12:00:00,2795.9,1705.0091000000004,0.10233,283.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 13:00:00,2696.2,2523.9999999999986,0.09775,173.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 14:00:00,2854.7,5000.0,0.09551000000000001,123.2,200.0,200.0,667.3000000000002,800.0,800.0,800.0
2024-01-06 15:00:00,1796.7,2904.2673,0.09774,228.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-06 16:00:00,1904.5,342.96355965575157,0.10283,133.8,200.0,200.0,567.463559655752,800.0,800.0,800.0
2024-01-06 17:00:00,1401.8,-0.0,0.10782,133.8,200.0,200.0,200.0,200.0,496.09609609609623,800.0
2024-01-06 18:00:00,1196.2,-0.0,0.10694,302.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 19:00:00,1199.2,774.7000000000003,0.10227,425.7,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 20:00:00,1499.9,1046.5000000000005,0.09498000000000001,454.6,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 21:00:00,1600.9,323.10000000000036,0.09063,1279.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-06 22:00:00,1204.1,-0.0,0.08934,1376.2,200.0,200.0,200.0,200.0,200.0,370.9000000000002
2024-01-06 23:00:00,1498.2,455.8709000000001,0.08243,872.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 00:00:00,117.7,-0.0,0.08615,118.89999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 01:00:00,116.8,-0.0,0.08245999999999999,117.99999999999993,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 02:00:00,145.8,-0.0,0.07922,1347.454588100993,200.0,200.0,200.0,200.45458810099294,800.0,800.0
2024-01-07 03:00:00,155.3,-0.0,0.07753,832.0,200.0,200.0,274.75413351289205,800.0,800.0,800.0
2024-01-07 04:00:00,120.3,-0.0,0.07551999999999999,628.0,200.0,200.0,779.3793793793793,800.0,800.0,800.0
2024-01-07 05:00:00,152.0,-0.0,0.07598,1376.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 06:00:00,2981.6,1610.2000000000005,0.07737999999999999,1376.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 07:00:00,2798.0,1329.400000000001,0.08037000000000001,1473.4,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 08:00:00,2899.4,1528.0000000000007,0.08421,1376.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 09:00:00,2802.2,1285.000000000001,0.08757,1522.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 10:00:00,2702.6,2038.6000000000006,0.08975,668.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 11:00:00,2996.3,-0.0,0.09198999999999999,832.0,200.0,200.0,200.0,430.9000000000001,800.0,800.0
2024-01-07 12:00:00,2795.9,535.6308999999999,0.0915,832.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 13:00:00,2696.2,2775.647047047046,0.08752,668.8,200.0,200.0,200.0,200.0,347.04704704704733,800.0
2024-01-07 14:00:00,2854.7,5000.0,0.08723,709.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 15:00:00,1796.7,1091.8999999999996,0.09064,709.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 16:00:00,1904.5,1588.6999999999998,0.09620999999999999,320.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-07 17:00:00,1401.8,-0.0,0.10427,302.2,200.0,295.60000000000036,800.0,800.0,800.0,800.0
2024-01-07 18:00:00,1196.2,-0.0,0.10609,339.0,200.0,200.0,200.0,634.7044000000005,800.0,800.0
2024-01-07 19:00:00,1199.2,-0.0,0.10355,247.0,200.0,200.0,200.0,200.0,279.6696956000004,800.0
2024-01-07 20:00:00,1499.9,538.3099740955997,0.1005,283.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 21:00:00,1600.9,1336.7000000000003,0.09331,265.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 22:00:00,1204.1,721.8000000000002,0.09117,483.5,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-07 23:00:00,1498.2,1131.5000000000005,0.08386,367.9,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 00:00:00,117.7,-0.0,0.08702,512.4,200.0,200.0,200.0,200.0,200.0,593.5
2024-01-08 01:00:00,116.8,-0.0,0.08431999999999999,265.4,200.0,200.0,200.0,200.0,200.0,740.5065000000001
2024-01-08 02:00:00,145.8,-0.0,0.08181999999999999,247.0,200.0,200.0,200.0,200.0,239.96599350000008,800.0
2024-01-08 03:00:00,155.3,-0.0,0.08063,512.4,200.0,200.0,200.0,200.0,595.2260275065001,800.0
2024-01-08 04:00:00,120.3,2250.6604898122973,0.07904000000000001,367.9,691.291291291291,800.0,800.0,800.0,800.0,800.0
2024-01-08 05:00:00,152.0,-0.0,0.08209999999999999,265.4,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-08 06:00:00,2981.6,2794.6000000000004,0.0943,191.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-08 07:00:00,2798.0,2592.6000000000013,0.10787000000000001,210.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-08 08:00:00,2899.4,2085.989389389389,0.1176,7.6,200.0,589.3893893893888,800.0,800.0,800.0,800.0
2024-01-08 09:00:00,2802.2,-0.0,0.12073,16.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 10:00:00,2702.6,2703.799999999999,0.1139,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 11:00:00,2996.3,2996.599999999999,0.10138,0.9,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 12:00:00,2795.9,4088.1910910910906,0.09273,-0.0,200.0,200.0,200.0,291.0910910910911,800.0,800.0
2024-01-08 13:00:00,2696.2,5000.0,0.09251999999999999,7.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-08 14:00:00,2854.7,2857.400000000001,0.09936,2.1,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-08 15:00:00,1796.7,1801.4999999999998,0.10485,-0.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-08 16:00:00,1904.5,658.7539185832477,0.12024,39.8,200.0,200.0,789.253918583248,800.0,800.0,800.0
2024-01-08 17:00:00,1401.8,-0.0,0.12541,80.8,200.0,200.0,200.0,200.0,664.6646646646649,800.0
2024-01-08 18:00:00,1196.2,-0.0,0.12624,133.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 19:00:00,1199.2,1119.6000000000004,0.11857,80.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 20:00:00,1499.9,1488.9000000000003,0.11090000000000001,12.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 21:00:00,1600.9,1602.1000000000004,0.09985,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 22:00:00,1204.1,1205.3000000000002,0.09708,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-08 23:00:00,1498.2,1499.4000000000003,0.08882999999999999,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 00:00:00,117.7,102.09999999999994,0.08543,16.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 01:00:00,116.8,47.799999999999926,0.08434,70.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 02:00:00,145.8,76.79999999999994,0.08254,70.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 03:00:00,155.3,3675.7,0.08170000000000001,80.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-09 04:00:00,120.3,12.49999999999973,0.08323,112.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-09 05:00:00,152.0,97.19999999999973,0.08634,59.6,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-09 06:00:00,2981.6,2794.6000000000004,0.08898,191.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-09 07:00:00,2798.0,1807.600000000001,0.09487999999999999,995.2,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-09 08:00:00,2899.4,-0.0,0.12911,1133.2,200.0,200.0,229.00000000000023,800.0,800.0,800.0
2024-01-09 09:00:00,2802.2,579.4289999999999,0.11716,396.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 10:00:00,2702.6,2419.9999999999986,0.10991,283.8,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 11:00:00,2996.3,505.2999999999993,0.1025,2492.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 12:00:00,2795.9,3864.4361527241495,0.09711,2007.1,274.4361527241494,800.0,800.0,800.0,800.0,800.0
2024-01-09 13:00:00,2696.2,-0.0,0.09769,3132.9,706.8617165714257,800.0,800.0,800.0,800.0,800.0
2024-01-09 14:00:00,2854.7,-0.0,0.10745,2307.4,200.0,754.8548548548548,800.0,800.0,800.0,800.0
2024-01-09 15:00:00,1796.7,-0.0,0.11569,2446.0,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-09 16:00:00,1904.5,-0.0,0.12387999999999999,1729.9,620.6000000000004,800.0,800.0,800.0,800.0,800.0
2024-01-09 17:00:00,1401.8,-0.0,0.13356,541.3,200.0,355.4794000000006,800.0,800.0,800.0,800.0
2024-01-09 18:00:00,1196.2,-0.0,0.13353,339.0,200.0,200.0,200.0,694.5239206000008,800.0,800.0
2024-01-09 19:00:00,1199.2,-0.0,0.12638,247.0,200.0,200.0,200.0,200.0,339.4293966794007,800.0
2024-01-09 20:00:00,1499.9,589.0100327172789,0.11651,173.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 21:00:00,1600.9,1594.5000000000005,0.09996,7.6,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 22:00:00,1204.1,1160.9,0.09169,44.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-09 23:00:00,1498.2,1496.7000000000003,0.09090999999999999,2.7,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 00:00:00,1504.6,1505.8000000000002,0.08652,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 01:00:00,1398.6,1398.3000000000002,0.08406999999999999,1.5,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 02:00:00,1496.2,1497.4000000000003,0.08404,-0.0,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 03:00:00,1602.9,3212.5316316316316,0.08342000000000001,123.2,200.0,200.0,200.0,731.6316316316318,800.0,800.0
2024-01-10 04:00:00,1798.9,-0.0,0.08363,70.2,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 05:00:00,1996.8,5000.0,0.08245000000000001,102.0,303.99999999999983,800.0,800.0,800.0,800.0,800.0
2024-01-10 06:00:00,2984.8,3445.304000000001,0.08274,39.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-10 07:00:00,2800.3,2724.300000000001,0.09689,80.8,800.0,800.0,800.0,800.0,800.0,800.0
2024-01-10 08:00:00,2904.6,-0.0,0.1369,21.4,200.0,200.0,200.0,200.0,312.0000000000002,800.0
2024-01-10 09:00:00,2802.4,2091.711999999999,0.12635,0.6,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 10:00:00,2703.2,2701.9999999999986,0.11488,2.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 11:00:00,3003.5,2983.299999999999,0.10597,21.4,200.0,200.0,200.0,200.0,200.0,200.0
2024-01-10 12:00:00,2796.1,4040.202502502502,0.09881999999999999,59.6,200.0,200.0,200.0,302.5025025025025,800.0,800.0
